,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
7842,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Joaquim Piza - Cambuci, São Paulo - SP",60 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.300 /mês,R$ 300
7843,"Apartamento com 3 Quartos para Aluguel, 86m²","Rua Ministro Gastão Mesquita, 725 - Perdizes, São Paulo - SP",86 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 3.500 /mês,R$ 1.088
7844,"Apartamento com 3 Quartos para Aluguel, 210m²","Rua Cincinato Braga, 535 - Bela Vista, São Paulo - SP",210 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 8.000 /mês,R$ 1.950
7845,"Apartamento com Quarto para Aluguel, 47m²","Rua Doutor Neto de Araújo - Vila Mariana, São Paulo - SP",47 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 723
7846,"Apartamento com 2 Quartos para Aluguel, 51m²","Rua Jorge Tibiriçá, 238 - Vila Mariana, São Paulo - SP",51 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.650 /mês,R$ 450
7847,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Curupá, 832 - Jardim Anália Franco, São Paulo - SP",60 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.300 /mês,R$ 620
7848,"Apartamento com Quarto para Aluguel, 45m²","Rua Gomes de Carvalho, 12 - Vila Olímpia, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.350 /mês,R$ 665
7849,"Apartamento com 3 Quartos para Aluguel, 65m²","Rua Subragi, 200 - Itaquera, São Paulo - SP",65 m²,3 Quartos,2 Banheiros,1 Vaga,R$ 928 /mês,R$ 322
7850,"Apartamento com 3 Quartos para Aluguel, 84m²","Rua Dom Armando Lombardi - Jardim Guedala, São Paulo - SP",84 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 2.300 /mês,R$ 1.263
7851,"Apartamento com 2 Quartos para Aluguel, 87m²","Rua Francisco Pessoa - Vila Andrade, São Paulo - SP",87 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 3.450 /mês,R$ 1.050
7852,"Apartamento com Quarto para Aluguel, 46m²","Alameda dos Arapanés, 419 - Moema, São Paulo - SP",46 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 484
