,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
707,16,110,3,4,2,1500,4900
708,25,40,1,1,1,645,1500
709,29,120,2,1,1,510,1800
710,37,31,1,1,1,642,2500
711,2,77,2,1,2,600,4900
712,35,30,1,1,1,616,2000
713,17,40,1,1,1,0,1300
714,29,183,3,2,0,590,2200
715,15,68,2,2,1,708,2300
716,1,90,3,2,1,750,2600
717,32,75,2,2,1,425,2500
718,40,100,3,2,2,948,2990
719,29,70,2,2,2,958,3500
720,47,74,2,2,1,450,1600
721,39,56,2,2,1,700,1750
722,42,85,3,3,2,1150,3200
723,21,50,2,1,1,838,2600
724,44,114,3,3,2,1200,4500
725,21,50,1,1,0,603,2400
726,29,52,2,1,1,529,1400
727,33,90,3,3,2,772,4000
728,9,135,3,3,2,980,8000
729,32,49,1,2,1,772,2500
730,42,65,2,2,1,980,3500
731,41,37,1,1,1,892,1200
732,10,132,4,5,2,990,5500
733,11,68,2,2,2,800,4200
734,17,40,1,1,1,405,1200
735,43,50,2,1,1,580,1500
736,46,65,2,2,1,550,4499
737,35,67,1,1,0,620,1200
738,32,49,2,1,1,602,2600
739,11,41,1,1,1,620,3000
740,39,48,2,1,1,375,1500
741,15,89,3,2,0,0,1700
742,38,82,3,3,2,580,4000
743,9,88,2,2,1,0,2500
744,21,65,2,2,2,1035,2800
745,26,46,1,1,1,1400,2800
746,10,37,1,1,1,577,1850
747,29,32,2,1,0,190,1200
748,7,43,1,1,1,654,2400
749,10,65,1,2,1,646,2800
750,24,36,1,1,0,349,1200
751,29,42,2,1,1,330,2000
752,3,45,1,1,1,580,3200
753,22,48,1,1,1,1200,4500
754,37,102,2,2,1,587,5000
755,48,71,2,2,1,1250,6000
756,8,40,1,1,0,300,900
757,49,124,3,2,2,1350,4350
758,29,58,2,2,1,896,1700
759,32,136,2,4,2,1477,8000
760,27,69,2,3,1,1003,1900
761,21,44,1,1,1,880,4200
762,16,45,1,1,1,624,3500
763,14,199,3,4,3,1700,6550
764,29,58,2,1,1,206,1287
765,16,105,3,3,1,1346,5500
766,47,130,3,5,2,1450,3800
767,48,36,1,1,1,967,2836
768,29,82,3,2,1,515,3150
769,44,88,3,1,2,860,4500
770,0,38,1,1,1,600,4000
771,29,48,2,1,1,500,1905
772,32,50,1,1,1,840,2200
773,3,50,2,2,1,548,2800
774,38,68,2,2,2,987,2800
